node_id,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
10,81.623310,87.393479,155.238244,231.564260,280.024997,380.830792,436.863087,515.009731,569.492638,668.256026,0.000000,46.701317,141.011215,205.413177,313.773626,346.750098,464.330999,530.394898,581.803209,647.405432,53.910793,87.816297,144.510897,235.035805,319.698888,385.731384,431.695018,536.381220,594.653109,671.546278,133.688601,160.116912,199.592393,256.223841,341.906571,390.975176,473.327475,534.786346,621.935810,696.445349,216.763908,240.806392,272.571794,312.773750,365.651420,431.103068,524.218024,581.306782,660.456577,716.602519,309.465799,278.105852,341.355114,401.286000,425.129007,487.029073,540.167270,596.455062,655.332333,739.376484,360.400103,358.197441,425.127695,425.217876,458.754547,540.997033,589.848490,676.053979,726.521338,797.274600,428.604787,460.120901,502.738601,498.717666,564.750179,605.534471,646.544784,721.041916,770.514766,837.994113,494.932055,519.136885,552.961813,592.737068,631.365314,672.513380,705.456173,785.373536,851.939144,884.417770,591.854398,581.243830,638.580999,653.540693,709.933760,721.002881,779.196324,845.111477,877.113375,950.280591
11,114.266992,77.178793,116.535786,189.840173,236.620766,337.888054,392.009544,469.999582,524.050651,623.011901,46.701317,0.000000,95.136928,159.400122,267.247696,300.198157,417.748219,483.876817,535.610717,600.918213,69.946437,63.195521,101.193326,189.235547,273.171464,339.108439,385.076264,489.717103,547.951793,624.864044,137.522497,139.212667,161.263572,216.166472,297.374697,346.726671,427.392127,488.839591,575.467923,650.084309,212.181945,220.312226,241.883273,277.082177,324.562728,389.409864,479.755875,537.082100,615.251225,671.274996,309.065555,262.639978,317.514041,369.099279,388.518368,448.582240,498.748136,553.526292,611.407026,694.873851,354.815482,343.346491,402.731368,396.033377,425.828730,504.892703,550.823386,634.491341,685.098447,753.691617,422.768153,444.843004,481.484362,474.455338,534.477502,570.214132,610.343445,682.613830,729.889875,797.171208,490.632862,507.062288,534.512087,569.734743,602.419760,641.406495,669.900587,748.098346,813.192336,844.742992,586.817676,567.864857,620.173775,630.706136,683.075586,692.082228,746.719690,810.015292,839.602567,911.703676
12,190.177428,112.516660,53.340141,102.279575,144.114542,245.385228,297.166383,375.029613,428.923332,527.924250,141.011215,95.136928,0.000000,64.404238,173.469602,206.497050,324.081476,389.850733,440.806953,506.741847,156.670116,112.438146,66.790820,111.498220,185.445979,249.497451,295.272896,398.889325,455.841477,531.966635,200.314594,161.491164,127.992238,166.770095,222.500750,271.949323,342.771240,403.760274,486.587502,561.853721,252.392335,228.274133,221.232749,237.942306,263.749419,324.291619,402.063125,459.908116,533.353362,588.599002,348.972782,277.113546,308.690800,335.425850,340.844542,393.391944,432.633770,481.309834,534.932523,615.669965,383.033014,353.539569,393.092684,369.540592,387.970691,455.813708,491.999867,566.451389,617.157921,677.812659,447.821212,449.842908,471.905717,457.889743,501.172274,522.319665,559.331748,624.208686,664.270420,730.527913,516.673207,517.094296,530.026594,553.947607,571.342177,604.109689,620.059166,692.585378,752.885087,781.450391,609.383173,573.766732,614.088074,614.229647,656.092850,659.804327,704.584580,760.231824,782.783037,851.385249
13,250.935715,168.148853,80.230942,63.696968,87.982444,186.592753,234.029149,311.521210,364.908309,464.053174,205.413177,159.400122,64.404238,0.000000,109.858233,142.814308,260.202075,325.723887,376.404352,442.514425,218.145509,167.427186,100.519314,77.521745,128.645958,189.341770,234.528341,336.865971,392.814709,468.386776,251.682270,198.296561,136.867003,153.489005,178.231926,225.659072,286.115436,346.214065,425.760519,501.316847,290.313850,249.724276,224.291877,225.232119,230.703010,285.005638,350.583312,408.255842,477.556259,531.996127,382.737505,299.029311,313.716988,321.189028,315.475534,360.431287,390.152067,433.368255,483.249613,561.514823,408.848646,369.120132,394.039340,359.319486,368.654298,426.264688,454.359343,520.954385,571.357066,625.835256,470.005069,459.053905,470.727761,452.175895,482.530658,492.537013,526.721048,585.437515,619.880070,685.022008,538.124664,528.183876,531.150660,546.862054,553.159005,581.007975,587.639412,655.399216,711.843608,738.114920,627.232036,581.158451,612.796693,605.768441,639.747093,639.663083,676.970132,726.715649,744.086295,809.860955
14,360.450411,276.343058,183.699181,122.459427,85.537593,122.919659,141.167708,213.490960,262.765445,362.112716,313.773626,267.247696,173.469602,109.858233,0.000000,33.027504,150.631786,216.629529,269.323691,333.677751,320.556405,264.041395,188.970526,104.960217,50.894924,85.779457,128.112054,227.815849,283.006866,358.580598,339.645773,272.409666,190.207754,169.784322,122.077401,154.916930,186.697999,243.816995,317.815267,393.526334,358.203902,298.126593,249.178394,224.022222,189.263529,223.245799,259.589833,315.465564,376.633652,429.443873,439.797046,343.402313,330.663013,304.599762,278.796738,305.672736,315.372822,346.877816,389.152080,462.548794,452.493826,398.768077,398.235953,346.681416,339.039771,374.493893,386.442282,437.119723,486.215734,529.861746,505.387243,473.682546,467.378294,441.881555,448.213598,437.798313,465.865281,512.335932,536.529637,599.107225,570.092668,543.317323,529.403077,530.516617,517.253801,535.675107,525.693703,583.945959,633.125559,655.320765,650.950300,588.480485,604.517611,585.349074,604.847581,598.161198,621.756499,660.600570,668.979677,729.468018
15,393.177598,308.718363,215.503022,150.566927,107.545727,115.439857,117.122428,185.160328,232.316872,331.407112,346.750098,300.198157,206.497050,142.814308,33.027504,0.000000,117.612918,183.696891,236.987692,300.774250,352.813000,295.661196,220.200794,132.574108,57.988162,61.103669,98.817380,195.740187,250.208128,325.581941,369.490909,300.350873,216.298089,189.365113,123.088711,146.037669,161.113104,215.784137,286.340298,362.049415,384.007774,320.516272,267.285607,236.241664,190.371964,214.832770,237.240928,291.621359,348.634430,400.524538,462.520114,364.161217,344.780247,309.653227,277.965079,297.690512,299.359402,325.547193,364.202773,435.168032,471.879611,415.164318,407.723276,352.046599,339.175847,366.412470,372.221432,416.204047,464.505942,503.583474,522.247630,485.228694,473.829477,446.537329,445.198935,427.892369,453.501349,495.133503,515.298992,576.660437,585.616686,554.415899,535.753261,532.447856,513.058646,528.191308,512.495891,566.987306,613.295477,633.898785,663.785749,597.044023,608.376014,585.606959,600.364462,591.549202,610.378508,645.242719,650.361786,708.747509
16,509.703106,424.382821,330.193299,259.368314,209.708397,154.905344,93.754914,105.704673,132.065275,225.749542,464.330999,417.748219,324.081476,260.202075,150.631786,117.612918,0.000000,66.602850,123.627055,183.574136,468.993757,410.638660,334.810578,242.970523,155.358993,94.003089,64.273196,89.290134,135.102406,208.416233,480.109284,407.216573,320.955560,281.932981,185.710756,174.376187,112.523798,138.388673,180.469986,254.610364,484.525477,413.687572,351.795993,307.970000,237.919969,228.111107,188.633885,229.139219,261.039331,306.448465,553.734582,451.985362,415.199303,355.663051,308.258493,301.612313,271.887602,272.392311,291.462755,348.011447,553.583343,489.626489,462.084544,396.351034,367.622872,364.476962,346.323643,359.742122,402.722721,420.167656,595.672825,543.423962,516.384891,484.263755,457.204781,415.682611,430.705943,451.435070,454.097778,508.846315,653.938006,609.597614,576.199832,558.348254,518.331189,521.067710,484.238088,522.219203,555.780656,569.398089,722.555885,643.274396,638.875555,604.391408,602.122989,585.823932,586.421987,605.127109,597.126410,646.034770
17,574.077242,488.208568,393.684714,320.701472,269.757043,199.401281,128.176380,91.576508,85.506311,166.514061,530.394898,483.876817,389.850733,325.723887,216.629529,183.696891,66.602850,0.000000,60.401947,117.096352,535.583810,477.226085,401.393735,309.313953,221.282089,157.706289,119.469256,65.713705,79.987241,145.198951,546.089540,472.564836,386.158838,344.938879,244.918005,225.074674,140.464248,136.378652,138.337056,206.135374,548.093381,475.564639,411.804000,364.993496,289.958321,268.135941,200.101132,225.681714,233.622699,270.586133,614.210807,511.984706,469.824114,402.542436,350.547201,332.485433,288.014460,272.053420,275.135340,317.004024,610.812415,544.787619,509.968461,441.489175,406.912086,389.489878,358.987183,352.214243,389.827927,390.264151,649.552671,591.755930,558.480337,524.779827,486.308858,433.377756,441.948174,449.297239,440.123318,488.937108,705.403182,655.983715,616.523160,592.195428,542.672697,538.787642,490.778982,517.676935,542.189961,550.773983,769.571336,685.434097,673.829316,634.101121,623.147046,603.093368,593.391121,602.016424,585.716436,627.569433
18,621.243449,534.646882,440.066838,364.567150,312.795101,229.822942,158.077099,92.077695,48.422495,106.552404,581.803209,535.610717,440.806953,376.404352,269.323691,236.987692,123.627055,60.401947,0.000000,72.279150,589.789558,532.429917,456.753068,366.005166,278.903157,216.891012,179.820772,110.141957,84.397682,114.624512,603.467767,530.838590,444.581202,404.637157,305.249960,285.006901,196.696087,180.513492,148.315029,200.119354,607.630262,535.638471,472.138630,425.370599,349.899320,325.366260,247.144930,262.720320,250.738551,276.944976,674.532952,572.336925,529.934357,461.086608,407.916059,385.680996,334.775372,309.328985,300.253949,326.802424,671.157358,604.934653,568.564447,499.412102,462.951614,439.347301,402.441619,382.031805,414.508090,399.189612,709.453502,650.364060,615.049940,580.834784,537.455677,478.815204,483.380890,481.421757,462.958606,505.776332,764.757544,713.904726,672.263638,645.154098,591.000906,583.334709,528.578137,547.108159,563.954292,568.000895,827.581309,741.776112,727.065887,684.866325,669.158576,646.954584,630.576912,631.740338,608.883670,644.177403
19,689.813694,603.551532,508.916644,434.419012,382.845279,302.008704,230.076840,163.148814,111.227910,100.349399,647.405432,600.918213,506.741847,442.514425,333.677751,300.774250,183.574136,117.096352,72.279150,0.000000,652.516222,593.882753,518.046268,425.390942,336.902862,271.718009,229.516930,134.997382,77.933849,49.011598,661.163537,586.569883,500.138896,455.951129,352.727218,324.580454,227.198524,191.639871,122.107622,148.392318,658.937457,584.087468,518.102657,467.835130,388.306433,353.089647,256.815790,256.180445,219.732354,232.576775,719.841494,617.457160,567.832008,490.935350,434.351356,401.663247,339.741770,300.541004,275.811116,283.855555,711.372792,642.735269,597.574095,526.478367,484.575522,447.211631,399.782368,360.309559,385.461978,353.313606,744.615528,678.850114,636.583078,601.140900,546.368148,477.820878,475.711924,460.345386,430.652186,466.040027,796.226411,739.300884,690.930217,656.935538,593.635053,579.262336,514.624238,521.439964,528.833835,527.852682,852.772658,761.760382,738.880664,691.471426,666.731780,641.019196,614.405558,605.406664,574.843407,602.604693
