node_id,neighbor_id,distance,neighbor_role,neighbor_hop_count,arrival_time
28,7,176.475378,ROUTER,,254.19800756903206
29,38,94.085820,ROUTER,3,4922.529922854035
29,37,192.658230,CLUSTER_HEAD,,267.4341026058184
29,48,195.633891,CLUSTER_HEAD,,337.4361297647152
29,39,101.665086,REGISTERED,5,4985.917762508267
29,9,221.176916,REGISTERED,,327.4356705221594
29,49,187.724789,REGISTERED,,367.4354322391747
30,31,78.130292,ROUTER,3,4948.439112801795
30,40,85.338059,CLUSTER_HEAD,4,4968.439938790651
30,32,204.139053,ROUTER,,272.1148132655678
30,41,165.702056,REGISTERED,,368.43992301706004
30,42,196.959145,REGISTERED,,316.19098648553563
30,51,165.682113,REGISTERED,,288.4401331300348
30,50,183.282532,CLUSTER_HEAD,,288.44024523048284
31,41,81.435314,REGISTERED,4,4968.439924088376
31,40,92.234843,CLUSTER_HEAD,4,4968.439945687434
31,32,86.453160,ROUTER,3,4972.1147838698225
31,42,118.828853,REGISTERED,5,4916.190986485535
31,51,130.880123,REGISTERED,,288.44010223078936
31,52,208.300461,CLUSTER_HEAD,,408.44025209037454
31,43,203.137388,CLUSTER_HEAD,,276.19089481154083
31,50,190.179316,CLUSTER_HEAD,,288.44024523048284
31,33,198.504902,REGISTERED,,380.599580258193
31,44,256.611504,REGISTERED,,416.19017645991113
32,41,113.988599,REGISTERED,4,4968.4399566416605
32,43,116.684228,CLUSTER_HEAD,4,4976.19089481154
32,33,57.602270,REGISTERED,3,4980.5995581844145
32,42,93.260068,REGISTERED,5,4916.190960916751
32,34,196.733273,REGISTERED,,303.1790878446062
32,40,178.688003,CLUSTER_HEAD,,368.43994568743443
32,51,163.433408,REGISTERED,,288.44010223078936
32,52,182.731676,CLUSTER_HEAD,,408.44025209037454
32,44,231.042720,REGISTERED,,416.19017645991113
32,53,214.270988,REGISTERED,,296.1911684743529
33,44,109.739966,REGISTERED,3,4916.190148417225
33,43,72.458839,CLUSTER_HEAD,4,4976.190850586151
33,34,105.164741,REGISTERED,3,4903.179081810652
33,42,79.676049,REGISTERED,5,4916.190947332731
33,35,174.634483,CLUSTER_HEAD,,376.1894504662841
33,45,175.757403,REGISTERED,,316.19010867928637
33,54,199.553284,CLUSTER_HEAD,,315.30398245888045
33,21,192.442774,ROUTER,,239.31146599336316
33,41,171.590869,REGISTERED,,368.43995664166107
33,53,170.045599,REGISTERED,,296.1911684743529
33,52,169.147657,CLUSTER_HEAD,,408.44025209037454
33,36,244.147926,REGISTERED,,356.95699229259355
34,35,49.674522,CLUSTER_HEAD,2,4976.189435246289
34,44,67.633491,REGISTERED,3,4916.190106310751
34,45,107.752152,REGISTERED,3,4916.1901504140005
34,36,138.983185,REGISTERED,3,4956.956992292594
34,43,122.716455,CLUSTER_HEAD,4,4976.190900843766
34,54,157.446810,CLUSTER_HEAD,,315.30398245888045
34,46,219.271687,REGISTERED,,387.43427001127253
34,56,217.143479,CLUSTER_HEAD,,312.4345700378478
34,27,231.365106,REGISTERED,,379.09360490917595
34,53,220.303215,REGISTERED,,396.1911684743528
34,55,190.627326,REGISTERED,,352.43478282897473
34,52,231.871315,CLUSTER_HEAD,,308.44027177362756
34,42,179.193220,REGISTERED,,316.19092413344777
35,37,227.266336,CLUSTER_HEAD,,267.4341059642587
35,44,64.894517,REGISTERED,3,4916.1901035717765
35,45,68.879106,REGISTERED,3,4916.190111540955
35,36,100.405602,REGISTERED,3,4956.95695371501
35,43,147.318618,CLUSTER_HEAD,,276.19086055141327
35,54,154.707836,CLUSTER_HEAD,,315.30398245888045
35,46,184.792566,REGISTERED,,287.43430563623
35,56,178.270433,CLUSTER_HEAD,,312.4345700378478
35,55,151.754280,REGISTERED,,252.4347828289748
36,37,61.458977,CLUSTER_HEAD,2,4967.434050279296
36,46,80.288503,REGISTERED,3,4987.434270011272
36,47,153.209103,ROUTER,,287.43435582082503
36,38,184.272916,ROUTER,,322.5299206592098
36,44,194.773369,REGISTERED,,316.1901046946976
36,45,128.755931,REGISTERED,3,4916.190171417779
36,57,168.964640,REGISTERED,,212.43446046828024
36,56,238.147258,CLUSTER_HEAD,,312.4345700378478
36,18,202.523879,CLUSTER_HEAD,,307.43536712133755
36,55,211.631105,REGISTERED,,352.43478282897473
37,46,66.967483,REGISTERED,3,4987.434256690253
37,47,91.750126,ROUTER,3,4987.434355820825
37,48,200.121888,CLUSTER_HEAD,,307.43527921136615
37,57,155.643621,REGISTERED,,212.43446046828024
37,56,154.992080,CLUSTER_HEAD,,212.43454867111762
37,38,97.496471,ROUTER,3,4922.529926264686
37,45,190.214907,REGISTERED,,316.19017141777925
37,58,166.823143,REGISTERED,,213.4955241479195
37,39,173.214910,REGISTERED,,185.917736561621
38,48,102.625418,CLUSTER_HEAD,4,4937.436138421328
38,39,75.718440,REGISTERED,5,4985.917736561621
38,46,164.463954,REGISTERED,,187.43425669025356
38,47,192.641688,ROUTER,,287.4343540869693
38,57,213.431685,REGISTERED,,312.4344825984093
38,49,161.778143,REGISTERED,,367.4354322391747
38,59,189.977349,ROUTER,,267.43552599367376
38,58,161.681318,REGISTERED,,313.49550813080333
39,48,93.968805,CLUSTER_HEAD,4,4937.436129764715
39,49,86.059703,REGISTERED,5,4967.435432239175
39,47,183.985075,ROUTER,,287.4343540869693
39,57,204.775072,REGISTERED,,312.4344825984093
39,59,181.320736,ROUTER,,367.4355259936737
39,58,177.471328,REGISTERED,,313.49554048652874
39,27,167.609434,REGISTERED,,379.09360441824845
40,41,80.363998,REGISTERED,4,4968.439923017059
40,51,80.344054,REGISTERED,5,4988.440133130034
40,50,97.944473,CLUSTER_HEAD,5,4988.440245230482
40,42,180.586364,REGISTERED,,316.1909678989926
40,52,182.019980,CLUSTER_HEAD,,308.4402642747497
40,60,190.852247,ROUTER,,308.4413397709282
40,61,161.064664,ROUTER,,308.44136040793967
41,51,49.444809,REGISTERED,5,4988.440102230788
41,52,101.655983,CLUSTER_HEAD,5,4908.440264274749
41,42,69.089617,REGISTERED,5,4916.1909367462995
41,50,178.308470,CLUSTER_HEAD,,288.44024523048284
41,60,159.953002,ROUTER,,308.4413397709282
41,61,130.165418,ROUTER,,308.44136040793967
41,43,230.672827,CLUSTER_HEAD,,276.19089481154083
41,44,206.872268,REGISTERED,,416.19017645991113
41,53,199.036671,REGISTERED,,396.1911682682812
41,62,187.293232,ROUTER,,316.19233114895127
41,63,197.706133,REGISTERED,,316.1923519747533
42,43,56.476765,CLUSTER_HEAD,4,4976.190834604077
42,51,100.242310,REGISTERED,5,4988.440153028289
42,52,89.471608,CLUSTER_HEAD,5,4908.440252090374
42,44,137.782651,REGISTERED,3,4916.190176459911
42,53,186.852296,REGISTERED,,396.1911682682812
42,60,210.750502,ROUTER,,308.4413397709282
42,61,180.962919,ROUTER,,408.44136040793967
42,54,168.989931,CLUSTER_HEAD,,415.3040051587272
43,44,82.424101,REGISTERED,3,4916.19012110136
43,53,97.586760,REGISTERED,5,4896.191168474353
43,52,109.154861,CLUSTER_HEAD,5,4908.440271773627
43,54,112.513166,CLUSTER_HEAD,6,4915.304005158727
43,45,235.440596,REGISTERED,,316.19018051568463
43,64,155.453568,REGISTERED,,316.1583768189969
43,63,139.992435,REGISTERED,,316.1922983302785
43,62,205.064607,ROUTER,,316.1923529895495
43,61,184.216372,ROUTER,,308.44135474884143
43,55,179.990608,REGISTERED,,352.43476743124296
43,65,228.965561,ROUTER,,297.7153702718647
43,25,217.001293,REGISTERED,,391.08843452051957
43,36,261.699639,REGISTERED,,356.95699229259355
43,51,192.763636,REGISTERED,,388.4401363947553
44,45,66.017438,REGISTERED,3,4916.190108679286
44,54,89.813319,CLUSTER_HEAD,6,4915.30398245888
44,46,181.930898,REGISTERED,,287.43430563623
44,56,175.408765,CLUSTER_HEAD,,312.4345700378478
