source_id,target_id,distance
7,82,681.707631
7,83,663.912531
7,84,621.844798
7,85,621.998320
7,86,578.858173
7,87,608.582269
7,88,633.762445
7,89,642.030950
7,90,826.175912
7,91,748.456694
7,92,744.539501
7,93,709.393372
7,94,704.572968
7,95,686.653264
7,96,681.499271
7,97,692.769040
7,98,677.278373
7,99,718.787641
8,9,99.424078
8,10,569.492638
8,11,524.050651
8,12,428.923332
8,13,364.908309
8,14,262.765445
8,15,232.316872
8,16,132.065275
8,17,85.506311
8,18,48.422495
8,19,111.227910
8,20,581.795819
8,21,526.552641
8,22,451.725294
8,23,364.594642
8,24,281.019037
8,25,224.870973
8,26,195.031909
8,27,147.733449
8,28,132.103033
8,29,158.079831
8,30,601.807631
8,31,531.906318
8,32,446.653178
8,33,411.648470
8,34,317.704557
8,35,304.515356
8,36,225.459413
8,37,219.397010
8,38,196.356871
8,39,247.928783
8,40,612.753393
8,41,543.994257
8,42,483.311250
8,43,440.035206
8,44,368.873559
8,45,352.009206
8,46,284.601961
8,47,305.540532
8,48,298.520294
8,49,325.364233
8,50,684.778589
8,51,583.372538
8,52,547.094263
8,53,484.501051
8,54,434.074607
8,55,417.908326
8,56,372.625524
8,57,352.233617
8,58,346.868073
8,59,375.208792
8,60,685.605959
8,61,621.621675
8,62,591.621549
8,63,524.234996
8,64,491.334864
8,65,474.878852
8,66,442.506831
8,67,427.702885
8,68,461.457675
8,69,447.611816
8,70,727.507903
8,71,673.265794
8,72,642.389232
8,73,609.072552
8,74,571.812434
8,75,517.733268
8,76,524.675340
8,77,526.571242
8,78,510.308103
8,79,553.916447
8,80,785.157591
8,81,738.452372
8,82,700.939300
8,83,677.572806
8,84,627.869599
8,85,622.906868
8,86,571.667167
8,87,593.117700
8,88,611.558641
8,89,616.137256
8,90,851.828452
8,91,769.421338
8,92,759.141004
8,93,719.600525
8,94,707.795275
8,95,686.991854
8,96,674.018696
8,97,677.741459
8,98,656.295430
8,99,692.389756
9,10,668.256026
9,11,623.011901
9,12,527.924250
9,13,464.053174
9,14,362.112716
9,15,331.407112
9,16,225.749542
9,17,166.514061
9,18,106.552404
9,19,100.349399
9,20,681.171469
9,21,625.967300
9,22,551.083142
9,23,463.375372
9,24,378.649394
9,25,319.744331
9,26,285.235516
9,27,212.762982
9,28,168.968097
9,29,143.172724
9,30,700.830056
9,31,630.276204
9,32,544.639407
9,33,507.602857
9,34,410.313390
9,35,391.496149
9,36,302.344826
9,37,279.463655
9,38,221.667229
9,39,244.778270
9,40,709.791571
9,41,639.434865
9,42,577.036408
9,43,531.261853
9,44,456.390547
9,45,431.096382
9,46,346.337510
9,47,352.744828
9,48,320.061754
9,49,330.409913
9,50,779.244618
9,51,677.278278
9,52,636.334324
9,53,567.356502
9,54,513.605173
9,55,488.394964
9,56,432.289492
9,57,398.114800
9,58,376.064358
9,59,381.663164
9,60,777.156477
9,61,711.301673
9,62,674.824571
9,63,605.346963
9,64,567.668408
9,65,538.791525
9,66,495.820464
9,67,460.496863
9,68,485.695159
9,69,449.276705
9,70,815.969919
9,71,756.611478
9,72,719.977762
9,73,685.393949
9,74,637.663866
9,75,573.485736
9,76,573.598843
9,77,560.576683
9,78,530.468662
