timestamp,node_id,node_addr,node_role,message
13.540159,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 73, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 13.540083721137144} dest: [255,255] package type: PROBE"
13.844466,67,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 66, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 13.844358798029335} dest: [255,255] package type: PROBE"
14.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 14.063173798031077} dest: [255,255] package type: PROBE"
14.540159,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 73, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 14.540083721137144} dest: [255,255] package type: PROBE"
15.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 15.063173798031077} dest: [255,255] package type: PROBE"
16.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 16.063173798031077} dest: [255,255] package type: PROBE"
17.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 17.063173798031077} dest: [255,255] package type: PROBE"
17.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 17.283575348149526} dest: [255,255] package type: PROBE"
17.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 17.883914641849394} dest: [255,255] package type: PROBE"
17.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 17.883914641849394} dest: [255,255] package type: PROBE"
17.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 17.883914641849394} dest: [255,255] package type: PROBE"
18.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 18.063173798031077} dest: [255,255] package type: PROBE"
18.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 18.283575348149526} dest: [255,255] package type: PROBE"
18.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 18.883914641849394} dest: [255,255] package type: PROBE"
18.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 18.883914641849394} dest: [255,255] package type: PROBE"
18.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 18.883914641849394} dest: [255,255] package type: PROBE"
19.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 19.063173798031077} dest: [255,255] package type: PROBE"
19.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 19.283575348149526} dest: [255,255] package type: PROBE"
19.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 19.883914641849394} dest: [255,255] package type: PROBE"
19.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 19.883914641849394} dest: [255,255] package type: PROBE"
19.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 19.883914641849394} dest: [255,255] package type: PROBE"
20.063281,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 67, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 20.063173798031077} dest: [255,255] package type: PROBE"
20.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 20.283575348149526} dest: [255,255] package type: PROBE"
20.883991,72,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 20.883914641849394} dest: [255,255] package type: PROBE"
20.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 20.883914641849394} dest: [255,255] package type: PROBE"
20.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 20.883914641849394} dest: [255,255] package type: PROBE"
20.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 20.883914641849394} dest: [255,255] package type: PROBE"
21.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.283575348149526} dest: [255,255] package type: PROBE"
21.362325,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.362288970243814} dest: [255,255] package type: PROBE"
21.362366,71,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.362288970243814} dest: [255,255] package type: PROBE"
21.362368,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.362288970243814} dest: [255,255] package type: PROBE"
21.883991,72,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.883914641849394} dest: [255,255] package type: PROBE"
21.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.883914641849394} dest: [255,255] package type: PROBE"
21.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.883914641849394} dest: [255,255] package type: PROBE"
21.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 21.883914641849394} dest: [255,255] package type: PROBE"
22.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.283575348149526} dest: [255,255] package type: PROBE"
22.362325,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.362288970243814} dest: [255,255] package type: PROBE"
22.362366,71,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.362288970243814} dest: [255,255] package type: PROBE"
22.362368,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 72, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.362288970243814} dest: [255,255] package type: PROBE"
22.883991,72,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.883914641849394} dest: [255,255] package type: PROBE"
22.883996,62,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.883914641849394} dest: [255,255] package type: PROBE"
22.884010,70,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.883914641849394} dest: [255,255] package type: PROBE"
22.884020,73,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 71, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 22.883914641849394} dest: [255,255] package type: PROBE"
23.283679,66,,UNDISCOVERED,"Packet received at None from None: {'dest': [255,255], 'type': 'PROBE', 'source': None, 'gui': 55, 'role': <Roles.UNDISCOVERED: 1>, 'addr': None, 'ch_addr': None, 'hop_count': 99999, 'send_time': 23.283575348149526} dest: [255,255] package type: PROBE"
